Locale Elaborazione Differenziale Dal Basso
Tubo: vds-4bis
Localita: imbocco
Misura di Riferimento N.ro: 000
Data Misura di Riferimento: 02/07/2012

Misura N.ro: 046
Data Misura: 07/05/2018
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
  19,20            0,61         209,77
  19,80            0,68         199,47
  20,40            0,83         187,94
  21,00            0,27         166,56
  21,60            0,20         166,56
  22,20            0,31         186,98
  22,80            0,44         206,04
  23,40            0,23         230,00
  24,00            0,21         225,92
  24,60            0,30         163,96
  25,20            0,41         150,49
  25,80            0,56         214,48
  26,40            0,42         207,07
  27,00            0,29         208,75
  27,60            0,11         206,80
  28,20            0,23         226,19
  28,80            0,23         190,20
  29,40            0,49         215,96
  30,00            0,57         217,80
  30,60            0,21         208,96
  31,20            0,93          64,04
  31,80            0,40         120,20
  32,40            4,65         236,12
  33,00           10,65         249,25
  33,60            7,50         261,08
  34,20            4,05         274,70
  34,80            1,63         271,63
  35,40            0,66         129,46
  36,00            2,05         112,50
  36,60            2,50         117,43
  37,20            1,98         137,83
  37,80            1,04         166,57
  38,40            1,06         203,07
  39,00            0,62         159,75
  39,60            0,34         181,42
  40,20            1,06         216,94
  40,80            1,37         210,18
  41,40            0,84         217,69
  42,00            0,48         268,66
  42,60            0,48         281,34
  43,20            0,50         191,07
  43,80            1,44         167,37
  44,40            0,79         208,81
  45,00            0,87         201,23
  45,60            0,35         170,96
  46,20            0,60         127,01
  46,80            1,31         117,83
  47,40            0,64         164,77
  48,00            2,38         210,88
  48,60            8,13         203,95
  49,20            8,59         220,55
  49,80            0,48         344,15
  50,40            0,59         104,29
  51,00            0,93         195,54
  51,60            0,72         190,04
  52,20            0,51         223,29
  52,80            0,40         192,70
  53,40            1,32         221,50
  54,00            0,68         205,14
  54,60            0,39         126,51
  55,20            0,21         100,71
  55,80            0,01         230,00
  56,40            0,44         113,43
  57,00            0,21         148,13
  57,60            0,26         199,04
  58,20            0,00           0,00

Misura N.ro: 049
Data Misura: 08/02/2019
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            1,12          61,61
   1,20            0,80         136,76
   1,80            1,22         171,93
   2,40            1,31         172,42
   3,00            0,26          99,76
   3,60            0,33          31,57
   4,20            0,36         310,54
   4,80            0,98         227,36
   5,40            1,72         203,66
   6,00            1,26          50,00
   6,60            0,42          72,93
   7,20            0,13         209,44
   7,80            0,63         208,96
   8,40            0,79         188,09
   9,00            0,34         188,58
   9,60            0,55         129,00
  10,20            0,24         129,38
  10,80            0,77         242,41
  11,40            1,64         226,33
  12,00            0,91         262,91
  12,60            0,59          69,36
  13,20            1,08          86,55
  13,80            0,90          90,29
  14,40            0,95         111,82
  15,00            1,66         239,89
  15,60            0,95         236,34
  16,20            0,35         247,65
  16,80            0,30         253,96
  17,40            0,47         211,57
  18,00            0,30         157,52
  18,60            0,27         182,71
  19,20            0,56         213,01
  19,80            0,62         197,85
  20,40            0,80         188,81
  21,00            0,22         159,65
  21,60            0,19         162,62
  22,20            0,25         185,00
  22,80            0,39         202,45
  23,40            0,27         226,82
  24,00            0,15         241,31
  24,60            0,28         176,25
  25,20            0,34         140,00
  25,80            0,52         218,37
  26,40            0,39         216,50
  27,00            0,26         201,93
  27,60            0,06         215,96
  28,20            0,17         214,75
  28,80            0,15         193,13
  29,40            0,47         211,57
  30,00            0,50         212,65
  30,60            0,20         193,97
  31,20            0,98          65,10
  31,80            0,42         109,74
  32,40            5,21         236,29
  33,00           10,75         249,90
  33,60            8,08         263,10
  34,20            4,72         276,93
  34,80            1,93         276,89
  35,40            0,90         119,44
  36,00            2,72         111,31
  36,60            3,15         117,34
  37,20            2,43         133,62
  37,80            1,11         163,10
  38,40            1,02         207,57
  39,00            0,48         160,14
  39,60            0,37         171,76
  40,20            1,09         209,08
  40,80            1,34         208,32
  41,40            0,81         211,57
  42,00            0,48         273,73
  42,60            0,53         285,41
  43,20            0,47         190,19
  43,80            1,40         165,46
  44,40            0,76         211,57
  45,00            0,85         203,89
  45,60            0,35         170,96
  46,20            0,56         119,62
  46,80            1,35         115,71
  47,40            0,63         156,70
  48,00            2,41         210,78
  48,60            8,16         204,05
  49,20            8,99         220,00
  49,80            0,48         349,74
  50,40            0,81          85,17
  51,00            0,78         192,03
  51,60            0,76         183,41
  52,20            0,54         203,44
  52,80            0,37         198,24
  53,40            1,33         224,81
  54,00            0,57         203,43
  54,60            0,33         109,93
  55,20            0,19          95,00
  55,80            0,00           0,00
  56,40            0,49         106,31
  57,00            0,20         131,25
  57,60            0,31         190,91
  58,20            0,00           0,00

Misura N.ro: 050
Data Misura: 18/06/2019
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            1,09          59,46
   1,20            0,48         125,53
   1,80            1,29         176,47
   2,40            1,47         184,59
   3,00            0,38         140,00
   3,60            0,20          13,97
   4,20            0,30         289,54
   4,80            0,99         231,74
   5,40            1,56         195,55
   6,00            0,98          56,15
   6,60            0,37          76,56
   7,20            0,21         217,91
   7,80            0,61         212,90
   8,40            0,59         197,53
   9,00            0,42         182,14
   9,60            0,52         128,37
  10,20            0,21         144,09
  10,80            0,93         240,22
  11,40            1,71         221,94
  12,00            0,96         262,20
  12,60            0,57          68,44
  13,20            1,09          88,29
  13,80            0,88          95,69
  14,40            0,73         114,49
  15,00            1,73         241,99
  15,60            1,02         238,49
  16,20            0,42         255,64
  16,80            0,40         242,99
  17,40            0,33         183,15
  18,00            0,20         188,01
  18,60            0,35         204,54
  19,20            0,70         215,07
  19,80            0,77         201,93
  20,40            0,88         185,69
  21,00            0,16         173,69
  21,60            0,24         169,74
  22,20            0,39         197,53
  22,80            0,43         217,91
  23,40            0,43         248,43
  24,00            0,16         181,19
  24,60            0,20         148,75
  25,20            0,36         167,65
  25,80            0,73         220,54
  26,40            0,20         203,44
  27,00            0,34         209,15
  27,60            0,12         230,00
  28,20            0,21         230,00
  28,80            0,22         187,73
  29,40            0,54         260,14
  30,00            0,65         206,97
  30,60            0,04         320,00
  31,20            1,13          56,84
  31,80            0,30         193,13
  32,40            7,28         238,65
  33,00           11,27         251,55
  33,60            8,29         267,58
  34,20            5,05         279,82
  34,80            1,79         279,09
  35,40            1,18         111,16
  36,00            3,35         111,37
  36,60            3,77         119,04
  37,20            2,51         135,55
  37,80            0,73         174,99
  38,40            1,39         243,13
  39,00            0,17         150,31
  39,60            0,49         238,88
  40,20            1,16         232,97
  40,80            1,10         233,92
  41,40            1,58         276,15
  42,00            0,86         290,75
  42,60            0,51         285,84
  43,20            0,61         170,96
  43,80            1,34         173,16
  44,40            0,74         196,63
  45,00            0,81         175,16
  45,60            0,51         133,29
  46,20            1,21         116,62
  46,80            1,63         121,23
  47,40            1,99         214,29
  48,00            3,93         209,42
  48,60           12,39         209,53
  49,20            5,67         241,28
  49,80            3,47          46,53
  50,40            1,72          69,86
  51,00            2,34         196,51
  51,60            1,01         223,19
  52,20            0,59         237,31
  52,80            0,94         181,10
  53,40            1,85         255,52
  54,00            0,49          92,51
  54,60            0,43          60,12
  55,20            0,19         301,57
  55,80            0,40         357,30
  56,40            0,54         128,69
  57,00            0,30         206,04
  57,60            0,69         232,49
  58,20            0,00           0,00

Misura N.ro: 051
Data Misura: 22/07/2019
N.ro Letture: 97
Prof.[m]    Risultante[mm]  Azimut[gradi]
   0,60            1,07          74,77
   1,20            0,64         124,98
   1,80            1,13         165,20
   2,40            1,56         150,55
   3,00            0,79          81,89
   3,60            0,57          45,49
   4,20            0,12         269,81
   4,80            0,95         224,56
   5,40            1,74         190,95
   6,00            1,05          39,33
   6,60            0,40          84,29
   7,20            0,19         201,39
   7,80            0,62         207,17
   8,40            0,60         189,09
   9,00            0,39         175,54
   9,60            0,56         123,01
  10,20            0,17         140,00
  10,80            0,87         239,95
  11,40            1,67         220,71
  12,00            0,89         263,96
  12,60            0,66          68,44
  13,20            1,10          86,71
  13,80            0,85          95,00
  14,40            0,72         113,97
  15,00            1,67         241,92
  15,60            1,02         239,32
  16,20            0,38         250,56
  16,80            0,39         238,75
  17,40            0,30         157,53
  18,00            0,18         188,36
  18,60            0,35         204,54
  19,20            0,67         214,41
  19,80            0,75         199,83
  20,40            0,90         181,63
  21,00            0,17         170,96
  21,60            0,22         173,69
  22,20            0,36         200,25
  22,80            0,41         217,47
  23,40            0,44         252,17
  24,00            0,18         164,44
  24,60            0,24         136,42
  25,20            0,33         170,07
  25,80            0,75         219,59
  26,40            0,19         201,39
  27,00            0,36         205,56
  27,60            0,11         245,94
  28,20            0,24         233,58
  28,80            0,25         185,00
  29,40            0,54         260,14
  30,00            0,64         209,44
  30,60            0,08         341,80
  31,20            1,12          56,93
  31,80            0,47         213,30
  32,40            7,50         238,75
  33,00           11,38         253,29
  33,60            8,55         268,66
  34,20            5,42         280,05
  34,80            2,15         278,96
  35,40            1,20         112,47
  36,00            3,65         111,01
  36,60            4,16         117,51
  37,20            2,76         131,25
  37,80            0,80         168,01
  38,40            1,41         241,07
  39,00            0,14         146,35
  39,60            0,42         234,09
  40,20            1,19         232,17
  40,80            1,15         222,50
  41,40            1,76         279,50
  42,00            0,76         286,31
  42,60            0,47         285,30
  43,20            0,81         159,44
  43,80            1,32         172,97
  44,40            0,73         191,71
  45,00            0,81         171,33
  45,60            0,51         128,02
  46,20            1,22         115,97
  46,80            1,68         120,76
  47,40            1,97         213,22
  48,00            3,90         209,06
  48,60           12,24         209,19
  49,20            5,43         242,92
  49,80            3,84          47,99
  50,40            1,73          70,79
  51,00            2,40         196,21
  51,60            1,07         226,78
  52,20            0,56         233,09
  52,80            0,94         178,52
  53,40            1,82         258,04
  54,00            0,60          84,87
  54,60            0,44          61,69
  55,20            0,16         298,20
  55,80            0,43           6,40
  56,40            0,59         132,69
  57,00            0,33         199,93
  57,60            0,73         230,00
  58,20            0,00           0,00
